Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack,binary_label
 28/12/2015 10:29:14 AM,2.493675,817.6742,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,830.5563,1,2,1,1,1,2,148.808,154.1912,1.711595,809.254,1,2,1,1,2,7.876058,143.476,262.5288,12.11228,1.725327,1.274881,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:15 AM,2.535951,817.949,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,829.5549,1,2,1,1,1,2,148.808,154.1912,1.711595,809.2156,1,2,1,1,2,7.876058,143.476,262.4007,12.11228,1.725327,1.280646,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:16 AM,2.535951,817.949,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,829.5549,1,2,1,1,1,2,148.808,154.1912,1.711595,809.2156,1,2,1,1,2,7.876058,143.476,262.4007,12.11228,1.725327,1.280646,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:17 AM,2.5699,818.4592,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,828.9942,1,2,1,1,1,2,148.808,154.1912,1.711595,809.0233,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.289996,0.7353967,0.3081062,2,1,249.8718,1.681991,188.7977,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:18 AM,2.610575,818.8911,2,1,1,262.625,8.46533,319.7385,0.0,1,1,1,1,1,1,1,19.76439,2.209269,828.2732,1,2,1,1,1,2,148.808,154.1912,1.711595,808.9464,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.299603,0.7353967,0.3081062,2,1,250.0801,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:19 AM,2.635557,818.6948,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.76439,2.209269,827.9528,1,2,1,1,1,2,148.808,154.1912,1.711595,808.7926,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.301652,0.7353967,0.3086186,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:20 AM,2.657336,819.3228,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.76439,2.209269,827.4321,1,2,1,1,1,2,148.808,154.1912,1.711595,808.9464,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.284745,0.7353967,0.3086186,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:21 AM,2.663741,819.7938,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.72598,2.209269,826.8713,1,2,1,1,1,2,148.808,154.1912,1.71262,808.9464,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.725327,1.273473,0.7353967,0.3086186,2,1,250.1923,1.681991,189.0541,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:22 AM,2.641642,820.0686,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.70677,2.210678,826.3907,1,2,1,1,1,2,148.808,154.4219,1.714029,808.9849,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.726352,1.26425,0.7353967,0.3086186,2,1,250.1923,1.681991,189.0541,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:23 AM,2.629792,820.4611,2,1,1,262.625,8.46533,319.9436,0.0,1,1,1,1,1,1,1,19.70677,2.210678,826.2705,1,2,1,1,1,2,148.808,154.4219,1.716464,809.7155,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.727378,1.262073,0.7353967,0.3086186,2,1,250.1923,1.681991,189.2143,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:24 AM,2.621145,821.2855,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.70677,2.210678,825.6296,1,2,1,1,1,2,148.808,154.4219,1.717105,809.7924,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.727378,1.270911,0.7353967,0.3086186,2,1,250.1923,1.681991,189.2143,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:25 AM,2.612497,821.2855,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.65555,2.210678,824.9888,1,2,1,1,1,2,148.808,154.4219,1.717105,810.3307,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.727378,1.271551,0.7353967,0.3086186,2,1,250.1923,1.681991,189.0861,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:26 AM,2.601928,821.4817,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.63634,2.209269,824.5482,1,2,1,1,1,2,148.808,154.4219,1.717105,810.5614,1,2,1,1,2,7.876058,143.476,262.3366,12.11228,1.727378,1.280517,0.7353967,0.3080421,2,1,250.1923,1.681991,189.0861,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:27 AM,2.585274,821.8743,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.63634,2.208884,823.9474,1,2,1,1,1,2,148.808,154.4219,1.717105,810.9459,1,2,1,1,2,7.876058,143.7067,262.4007,12.11228,1.725711,1.281927,0.7353967,0.3080421,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:28 AM,2.566698,822.2275,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.63634,2.208884,823.5469,1,2,1,1,1,2,148.808,154.4219,1.717105,810.9075,1,2,1,1,2,7.876058,143.7067,262.4007,12.11228,1.725455,1.290124,0.7353967,0.3080421,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:29 AM,2.554847,822.777,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.70037,2.208884,823.3466,1,2,1,1,1,2,148.808,154.4219,1.717105,810.6383,1,2,1,1,2,7.876058,143.7067,262.4007,12.11228,1.725455,1.291533,0.7353967,0.3083624,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:30 AM,2.542036,823.0518,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.73558,2.208884,823.0262,1,2,1,1,1,2,148.808,154.3707,1.717105,811.0228,1,2,1,1,2,7.876058,143.5529,262.4007,12.11228,1.725455,1.291533,0.7353967,0.3084265,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:31 AM,2.526022,823.7976,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.73558,2.208884,822.6657,1,2,1,1,1,2,148.808,154.3194,1.716208,810.9459,1,2,1,1,2,7.876058,143.5529,262.4007,12.11228,1.725455,1.291533,0.7353967,0.3084265,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:32 AM,2.503923,824.5042,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.73558,2.208884,822.3853,1,2,1,1,1,2,148.808,154.2425,1.715183,811.4843,1,2,1,1,2,7.876058,143.5529,262.4007,12.11228,1.723789,1.282567,0.7353967,0.3084265,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:33 AM,2.491432,824.5042,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.73558,2.208884,821.6643,1,2,1,1,1,2,148.808,154.2425,1.715183,811.3304,1,2,1,1,2,7.876058,143.5529,262.4007,12.11228,1.723789,1.266171,0.7353967,0.3084265,2,1,250.1923,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:34 AM,2.475098,824.936,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.73558,2.208884,821.8245,1,2,1,1,1,2,148.808,154.2425,1.715183,811.4073,1,2,1,1,2,7.876058,143.5529,262.4007,12.11228,1.723789,1.266299,0.7353967,0.3084265,2,1,250.032,1.681991,188.974,0.000128152,1,1,1,Attack,1
 28/12/2015 10:29:35 AM,2.455241,825.2892,2,1,1,262.625,8.46533,319.7898,0.0,1,1,1,1,1,1,1,19.74198,2.208884,821.0235,1,2,1,1,1,2,148.808,154.5245,1.715183,811.4843,1,2,1,1,2,7.876058,143.5529,262.4007,12.11228,1.723789,1.260664,0.7353967,0.3084265,2,1,250.032,1.762086,188.9259,0.000128152,1,1,1,Attack,1
